rainfall,water_level,temperature,humidity,rainfall_intensity,risk
10,0.5,28,45,10,LOW
15,0.6,29,48,15,LOW
20,0.8,28,50,20,LOW
25,0.9,27,52,25,LOW
30,1.0,28,55,30,LOW
35,1.2,29,58,35,LOW
40,1.3,28,60,40,LOW
45,1.5,27,62,45,LOW
50,1.7,28,65,50,LOW
55,1.9,29,67,55,MODERATE
60,2.0,28,70,60,MODERATE
65,2.2,27,72,65,MODERATE
70,2.4,28,74,70,MODERATE
75,2.5,29,76,75,MODERATE
80,2.7,28,78,80,MODERATE
82,2.9,27,80,82,MODERATE
85,3.0,28,82,85,HIGH
90,3.2,27,84,90,HIGH
95,3.5,26,86,95,HIGH
100,3.7,27,88,100,HIGH
105,3.9,26,90,105,HIGH
110,4.1,25,91,110,HIGH
120,4.3,25,92,120,HIGH
130,4.5,24,93,130,HIGH
140,4.8,24,94,140,HIGH
150,5.0,23,95,150,HIGH
